[ 0.02579223 -0.15879278  0.2245081 ]
[ 0.00435843 -0.15922468  0.18789507]
[ 0.00346943 -0.14642741  0.20524715]
[ 0.00727128 -0.15119185  0.22960443]
[-0.02016368 -0.19307465  0.18983013]
[-0.02305034 -0.17069905  0.19108094]
[ 0.03015314 -0.19681399  0.20797241]
[-0.02303321 -0.17067885  0.19109518]
[ 0.03014238 -0.19681266  0.20796627]
[ 0.0301137  -0.19679418  0.20789943]
