[ 0.02083859 -0.15676278  0.23097224]
[-0.01781304 -0.15280844  0.22553199]
[-0.00716955 -0.14624775  0.20970803]
[ 0.03046852 -0.16761027  0.20240436]
[ 0.03063801 -0.16795096  0.20246444]
[ 0.03076705 -0.16817893  0.20251475]
[ 0.03094866 -0.16916976  0.20247176]
[ 0.03079159 -0.16917013  0.20240511]
[-2.04393778e-04 -1.73160768e-01  2.48800243e-01]
