[ 0.02050774 -0.15704525  0.23064541]
[ 0.00337987 -0.14707026  0.22640712]
[-0.01821485 -0.15344496  0.22544557]
[ 0.03205721 -0.19194701  0.20767742]
[ 0.03059697 -0.17052926  0.20125802]
[ 0.03060443 -0.17053802  0.20125595]
[ 0.03066621 -0.17061353  0.20123468]
[ 0.00126049 -0.1819932   0.25010526]
[ 0.00229146 -0.17319913  0.24946413]
[ 0.00242909 -0.17314692  0.24914211]
