[ 0.02170254 -0.15803869  0.23143677]
[-0.02010171 -0.15400019  0.22502758]
[ 0.03154424 -0.16496548  0.21622647]
[ 0.03180496 -0.19188583  0.20720556]
[ 0.02980365 -0.17087793  0.19955795]
[ 0.02970697 -0.17077567  0.1995652 ]
[ 0.02969065 -0.1707894   0.19958446]
[ 0.02970021 -0.17080374  0.19958514]
[ 0.03117643 -0.17143551  0.20144873]
[ 0.0310748  -0.1712189   0.20146988]
[ 0.03097366 -0.17100134  0.20149114]
