[ 0.02580892 -0.15856775  0.2245369 ]
[ 0.00427197 -0.15913084  0.18789094]
[ 0.00340704 -0.14648919  0.20527313]
[ 0.00719714 -0.15060012  0.22880997]
[-0.01972436 -0.19328427  0.18996847]
[-0.02343326 -0.17232833  0.19087556]
[ 0.03021718 -0.19723778  0.20943254]
[ 0.03366323 -0.18768729  0.20812623]
[ 0.03366091 -0.18770493  0.20816503]
[ 0.03370998 -0.18787902  0.20838053]
