[ 0.02574372 -0.15842634  0.22450003]
[ 0.00423907 -0.15911888  0.18790215]
[ 0.00336691 -0.14650083  0.20522813]
[ 0.0071066  -0.15043086  0.22866119]
[-0.01973469 -0.19328436  0.18996118]
[-0.02341667 -0.17225992  0.19088745]
[ 0.03365768 -0.18763357  0.20789118]
[ 0.03365398 -0.187656    0.20797926]
[ 0.03369687 -0.18784365  0.20832207]
[ 0.03365982 -0.18783978  0.20831664]
