[-0.0224305  -0.15878143  0.19966878]
[-0.00733335 -0.16097732  0.24351543]
[-0.00275214 -0.14863577  0.20097173]
[ 0.018359   -0.19274879  0.24191332]
[ 0.02058372 -0.17016403  0.24115006]
[-0.03026792 -0.19791397  0.21502109]
[-0.03026776 -0.19791392  0.21502118]
[ 0.02057248 -0.17015338  0.24113622]
[-0.03022275 -0.19790219  0.21504278]
[-0.03018568 -0.19789516  0.21505294]
[-0.03411662 -0.188851    0.21460571]
