[ 0.02598582 -0.15904493  0.2251124 ]
[ 0.00490079 -0.15916108  0.18783759]
[ 0.00442029 -0.14646909  0.20667794]
[ 0.0081233  -0.15286623  0.2302571 ]
[-0.01968243 -0.19330293  0.18989015]
[-0.02348455 -0.17255779  0.19074061]
[ 0.03409253 -0.18811282  0.21121043]
[ 0.03409033 -0.18811027  0.21121148]
[-0.02350195 -0.17260784  0.19072811]
[ 0.03021985 -0.19741802  0.20999365]
