[-0.02231103 -0.15839444  0.19976376]
[-0.00728843 -0.16098779  0.24354235]
[ 0.01833387 -0.19272037  0.2419678 ]
[ 0.0206156  -0.17059806  0.24148798]
[-0.03024333 -0.19783781  0.21525002]
[-0.03023268 -0.19783516  0.21525712]
[-0.03023607 -0.19783651  0.21525593]
[-0.03446626 -0.18687072  0.21548777]
[-0.03453376 -0.18645984  0.21536681]
[-0.03455353 -0.18658195  0.21515067]
