[ 0.03294564 -0.18945319  0.22258816]
[ 0.02391003 -0.15916278  0.22976333]
[-0.01841571 -0.15217462  0.22220731]
[ 0.03256832 -0.16667781  0.2152451 ]
[ 0.02823182 -0.16813542  0.19755395]
[ 0.02786109 -0.16661241  0.19813884]
[ 0.02878873 -0.16781104  0.19871814]
[ 0.03228668 -0.16628011  0.21539577]
[ 0.02885874 -0.16803183  0.19870454]
