[ 0.02541476 -0.1582066   0.22418935]
[ 0.00376888 -0.15951338  0.1869107 ]
[ 0.00618424 -0.14916501  0.2285619 ]
[-0.01994021 -0.19331652  0.18977664]
[-0.02343444 -0.17185159  0.19081069]
[ 0.03022177 -0.19720544  0.2093154 ]
[ 0.03357749 -0.18747871  0.2076549 ]
[ 0.03349255 -0.1876467   0.20766253]
[ 0.03368179 -0.18754434  0.20791613]
