[ 0.01457478 -0.15245998  0.23113559]
[-0.00217171 -0.14819363  0.22857227]
[-0.02099417 -0.1572878   0.22770612]
[ 0.00023062 -0.14526324  0.20946297]
[ 0.03362852 -0.18674766  0.20823576]
[ 0.02646456 -0.16222615  0.2006925 ]
[ 0.02724208 -0.16263159  0.20104863]
[ 0.02640616 -0.16199602  0.20111417]
[ 0.00299071 -0.18880256  0.24899987]
