[-0.03049128 -0.18964925  0.22878036]
[-0.02046621 -0.15296239  0.22319538]
[ 0.01812825 -0.15276049  0.2033621 ]
[-0.01173848 -0.18285506  0.24765709]
[-0.00328591 -0.16285033  0.24548485]
[-0.01970244 -0.19368491  0.18917174]
[-0.00329378 -0.16286998  0.2455099 ]
[-0.01968303 -0.19365146  0.18916615]
[-0.01900643 -0.19301912  0.18902309]
[-0.01895625 -0.19301569  0.18902233]
