[ 0.02577953 -0.15874122  0.22537644]
[ 0.00461814 -0.15911763  0.18792562]
[ 0.00411273 -0.14649912  0.20701209]
[ 0.00776085 -0.15216174  0.22962959]
[-0.01980256 -0.19328906  0.18993496]
[-0.02351186 -0.1723891   0.19080716]
[ 0.03391294 -0.18754293  0.20909691]
[ 0.03400481 -0.18771961  0.21009495]
[ 0.03403803 -0.18797313  0.2105425 ]
[ 0.03023925 -0.19737802  0.20991665]
[ 0.03388544 -0.18792268  0.2094306 ]
