[-0.03020587 -0.18912861  0.22869746]
[ 0.00436861 -0.15710379  0.18889116]
[-0.01972321 -0.15297908  0.22290642]
[ 0.01860226 -0.15456877  0.20199329]
[-0.01134297 -0.1826756   0.24756969]
[-0.0028539  -0.16375276  0.24614005]
[-0.01939956 -0.19327241  0.18895684]
[-0.02058341 -0.18408964  0.18669671]
[-0.01922232 -0.19305173  0.18889739]
[-0.01921982 -0.19305065  0.18889943]
