[-0.03039124 -0.18946429  0.2287523 ]
[ 0.00385045 -0.15537728  0.19007436]
[-0.0198162  -0.15285695  0.22291769]
[ 0.01839361 -0.15393531  0.20268862]
[-0.01160494 -0.18278511  0.24763309]
[-0.00304353 -0.16322721  0.24578773]
[-0.01964918 -0.1934466   0.18912262]
[-0.00303338 -0.16324483  0.24581334]
[-0.01957579 -0.19335788  0.18909229]
[-0.01898796 -0.19291583  0.18915602]
