[-0.03013469 -0.18900504  0.22868051]
[ 0.00435574 -0.15777214  0.18845329]
[-0.01957095 -0.15297452  0.2226785 ]
[ 0.01857914 -0.15461989  0.20182503]
[-0.01127767 -0.18262586  0.24751647]
[-0.00289736 -0.16393577  0.24623627]
[-0.01932372 -0.19323859  0.18888447]
[-0.01905193 -0.19301335  0.1889609 ]
[-0.01903808 -0.1930084   0.18897056]
[-0.01902699 -0.1930046   0.18897789]
