[-0.02227753 -0.15818378  0.20004638]
[-0.00256314 -0.1478602   0.20178017]
[ 0.01808088 -0.19291473  0.24193261]
[ 0.02080996 -0.17111556  0.24142569]
[-0.03029513 -0.19798066  0.2149802 ]
[-0.03417442 -0.18819467  0.21526781]
[-0.03417199 -0.18820054  0.21526772]
[-0.03415724 -0.18827634  0.21527405]
[-0.03430533 -0.18794584  0.21466245]
