[ 0.01331386 -0.15269475  0.23168009]
[-0.00359707 -0.14922216  0.22912328]
[-0.02210683 -0.15979839  0.22780429]
[ 0.00048742 -0.14528383  0.20986408]
[ 0.03351515 -0.18660211  0.20836577]
[ 0.02681022 -0.1623226   0.20126201]
[ 0.03353814 -0.18661517  0.20837294]
[ 0.02633325 -0.16194194  0.20128526]
[ 0.00285812 -0.18885034  0.24899591]
