[-0.03015087 -0.18903796  0.22869278]
[ 0.00498304 -0.15766472  0.18833233]
[-0.01995812 -0.15303277  0.22249229]
[ 0.01866238 -0.15455018  0.20191206]
[-0.01133385 -0.18264282  0.24744587]
[-0.00353157 -0.16390605  0.24615712]
[-0.01999812 -0.19318449  0.18917972]
[-0.01976524 -0.19280932  0.18908294]
[-0.01974253 -0.19280256  0.18909525]
[-0.01973882 -0.19280149  0.18909718]
[-0.019705   -0.19279127  0.1891153 ]
