[-0.00760752 -0.16048417  0.24294258]
[-0.00313471 -0.14933601  0.20037818]
[ 0.01809825 -0.19289692  0.24187896]
[ 0.02066178 -0.17068798  0.24120617]
[-0.03430385 -0.1875713   0.21233996]
[ 0.02080215 -0.17109361  0.24132388]
[-0.03392204 -0.18914211  0.21213999]
[-0.03391403 -0.18913259  0.21220498]
[-0.03395327 -0.18905268  0.21248478]
