[-0.02230335 -0.1586489   0.19858711]
[-0.00792508 -0.16046035  0.24267862]
[-0.00350644 -0.15011128  0.19998704]
[ 0.01809061 -0.1928953   0.2417192 ]
[ 0.02084653 -0.17118776  0.24124081]
[-0.02990572 -0.19857746  0.21324605]
[-0.03343296 -0.18968528  0.20958903]
[ 0.02089347 -0.17132857  0.2412818 ]
[-0.02976795 -0.19874085  0.21282481]
[-0.02984155 -0.19865297  0.21304402]
