[-0.03023167 -0.18917525  0.22870607]
[-0.01976786 -0.15295485  0.22277388]
[ 0.01865494 -0.15468583  0.20206286]
[-0.01138902 -0.18268443  0.24758073]
[-0.00314002 -0.16359627  0.24603781]
[-0.01951112 -0.19344364  0.18900309]
[-0.01932211 -0.19314705  0.18889501]
[-0.01927248 -0.19306905  0.18887507]
[-0.01926141 -0.1930599   0.18887741]
[-0.01910733 -0.19300613  0.18896929]
[-0.01909404 -0.19300155  0.18897716]
