[ 0.02532335 -0.15809545  0.22422072]
[ 0.00377241 -0.15952488  0.18686902]
[ 0.00601481 -0.1488707   0.22836136]
[-0.01999072 -0.19331551  0.18975333]
[-0.02336472 -0.17159102  0.1908566 ]
[ 0.03358786 -0.18737676  0.20763266]
[ 0.03358742 -0.18737746  0.20763283]
[ 0.03357846 -0.18738453  0.20763606]
[ 0.03350752 -0.18760811  0.20764905]
[ 0.03396046 -0.18659783  0.20862592]
