[-0.03018249 -0.18908731  0.22869097]
[ 0.00430755 -0.15745574  0.18869352]
[-0.01985187 -0.15303514  0.22297327]
[ 0.01855813 -0.15431746  0.20203519]
[-0.01131707 -0.18265809  0.24756249]
[-0.00276597 -0.1638465   0.24620579]
[-0.01936552 -0.19324411  0.18893343]
[-0.01913392 -0.19302377  0.1889486 ]
[-0.00356394 -0.16399624  0.24619778]
[-0.0191128  -0.19301536  0.18896492]
