[ 0.02537402 -0.15844167  0.22467396]
[ 0.00385334 -0.15955923  0.1868473 ]
[ 0.00585653 -0.14864032  0.22827822]
[-0.02032191 -0.19313888  0.18950018]
[-0.02287545 -0.17008337  0.19095283]
[ 0.03376491 -0.1870293   0.20777644]
[ 0.03376978 -0.18707118  0.20779784]
[ 0.03374028 -0.18737975  0.20814107]
[-0.02339873 -0.17163216  0.19081539]
[ 0.03379751 -0.18702948  0.2083476 ]
