[ 0.00427035 -0.15915265  0.18779003]
[ 0.00361476 -0.14642988  0.20646445]
[ 0.00719981 -0.15109228  0.22886985]
[-0.01990122 -0.19328642  0.1899176 ]
[-0.02341222 -0.17189762  0.19093022]
[ 0.03392937 -0.18651878  0.20805353]
[ 0.03395716 -0.18660264  0.2082369 ]
[-0.02352789 -0.17220567  0.19083672]
[ 0.03392619 -0.18792688  0.20964637]
[ 0.0338995  -0.18791193  0.20963052]
