[-0.03033656 -0.18936174  0.22873222]
[ 0.00435943 -0.15632782  0.18942841]
[-0.01978749 -0.15290237  0.22300181]
[ 0.01849453 -0.15416478  0.20248904]
[-0.01150592 -0.18275094  0.24765245]
[-0.00297736 -0.16340166  0.2459484 ]
[-0.01953413 -0.19331249  0.18907333]
[-0.02033058 -0.18374474  0.18653898]
[-0.02029085 -0.1842108   0.18648847]
[-0.01949216 -0.19326157  0.18904182]
