[ 0.02536948 -0.15812814  0.22412767]
[ 0.00370501 -0.15954265  0.18683813]
[ 0.00612191 -0.14908977  0.22850159]
[-0.01994777 -0.19331945  0.18976316]
[-0.02344974 -0.17186382  0.19079686]
[ 0.03021832 -0.1972084   0.20932374]
[ 0.03357912 -0.18746649  0.20767748]
[ 0.03349968 -0.18764134  0.20768711]
[ 0.03368596 -0.18753969  0.20793579]
