[ 0.01502794 -0.15240534  0.23090174]
[-0.00175787 -0.14782438  0.22828868]
[-0.02068783 -0.15655232  0.22762606]
[-0.00029991 -0.14529363  0.20929992]
[ 0.03361629 -0.186762    0.20812168]
[ 0.02636655 -0.16230333  0.20038604]
[ 0.03360735 -0.18673922  0.20814013]
[ 0.02730162 -0.16271686  0.20094824]
[ 0.02661761 -0.16218749  0.20099462]
[ 0.00300477 -0.18877996  0.24900582]
