[-0.03017526 -0.18907832  0.2286953 ]
[ 0.00456677 -0.15726584  0.18867003]
[-0.01960793 -0.15295775  0.22273813]
[ 0.01852746 -0.15463794  0.2018522 ]
[-0.01134563 -0.18265078  0.24750727]
[-0.003178   -0.16383619  0.24616141]
[-0.01939027 -0.19329045  0.18891629]
[-0.01916459 -0.19304012  0.1889163 ]
[-0.00389235 -0.16398213  0.24615203]
[-0.01913963 -0.19303138  0.18893276]
[-0.01903725 -0.19299609  0.18899326]
