[0.02218146 0.09000385 0.22273695]
[0.0019028  0.08552518 0.23264643]
[0.02339287 0.09046803 0.21986999]
[0.00377122 0.08867877 0.23066586]
[0.02521728 0.09051658 0.2184153 ]
[0.00551917 0.09017289 0.23090948]
[0.02685535 0.09022121 0.2174785 ]
[0.00698296 0.0906468  0.23176907]
[0.02815312 0.08970433 0.21688987]
[0.0079972  0.09055531 0.23247416]
[0.02928414 0.08902568 0.21665306]
[0.0079972  0.09055531 0.23247416]
[0.02972149 0.08871956 0.21665248]
[0.0079972  0.09055531 0.23247416]
[0.00830183 0.08940581 0.23287026]
[0.0079972  0.09055531 0.23247416]
[0.00688856 0.08970573 0.23231129]
[0.0079972  0.09055531 0.23247416]
[-0.01064528  0.11057528  0.18811352]
[0.0078208  0.08928224 0.23233789]
[-0.00765845  0.11063557  0.18807306]
[0.00980283 0.08845951 0.23254762]
[-0.00513916  0.11117696  0.18698616]
[0.01024576 0.08827027 0.23258176]
[0.01286116 0.08773109 0.23176176]
[0.01255622 0.08783018 0.23185542]
[0.01468825 0.08704583 0.23122549]
[0.01255622 0.08783018 0.23185542]
[0.01639818 0.08633033 0.23053706]
[0.01255622 0.08783018 0.23185542]
[0.01738642 0.08586268 0.23009223]
[0.01255622 0.08783018 0.23185542]
[0.01919563 0.0850215  0.22909783]
[0.01255622 0.08783018 0.23185542]
[0.02081089 0.08430805 0.22798598]
[0.01255622 0.08783018 0.23185542]
[0.02223288 0.08361726 0.2270524 ]
[0.01255622 0.08783018 0.23185542]
[0.0227418  0.08337264 0.22666838]
[0.01255622 0.08783018 0.23185542]
[0.02590809 0.08055763 0.22385567]
[0.01255622 0.08783018 0.23185542]
[0.02727693 0.08658214 0.22110262]
[0.02621304 0.08725664 0.22176156]
[0.02727693 0.08658214 0.22110262]
[0.02621304 0.08725664 0.22176156]
[0.0329911  0.08285834 0.21156254]
[0.02621304 0.08725664 0.22176156]
[0.0334458  0.08250729 0.21062255]
[0.0334458  0.08250729 0.21062255]
[0.0334458  0.08250729 0.21062255]
[0.0334458  0.08250729 0.21062255]
[0.02487014 0.0855311  0.2221067 ]
[0.02745987 0.08464415 0.22063785]
[0.02807649 0.08439123 0.22049363]
[0.02807649 0.08439123 0.22049363]
[0.02807649 0.08439123 0.22049363]
[0.02807649 0.08439123 0.22049363]
[0.02626934 0.10321258 0.19657386]
[-0.00658473  0.05577374  0.22471329]
[-0.0097808   0.05179815  0.21775323]
[-0.00658473  0.05577374  0.22471329]
[-0.00910348  0.05040187  0.21616169]
[-0.00658473  0.05577374  0.22471329]
[-0.00910348  0.05040187  0.21616169]
[-0.00658473  0.05577374  0.22471329]
[-0.00910348  0.05040187  0.21616169]
[-0.00658473  0.05577374  0.22471329]
[-0.00910348  0.05040187  0.21616169]
[-0.00658473  0.05577374  0.22471329]
[-0.00910348  0.05040187  0.21616169]
[-0.00658473  0.05577374  0.22471329]
[0.0092313  0.08684756 0.23053323]
[0.01173988 0.08891166 0.22915249]
[0.01453945 0.09048024 0.22896974]
[0.01617525 0.09144951 0.22904015]
[0.01617525 0.09144951 0.22904015]
[0.01449674 0.09740384 0.22601794]
[0.01153947 0.0993584  0.22349857]
[0.0106595  0.10048689 0.22179684]
[-0.0025506   0.10496099  0.22399776]
[0.01096376 0.10132332 0.2206603 ]
[-0.0016906   0.10592622  0.22266305]
[0.01224131 0.1019928  0.2198343 ]
[-0.00035338  0.10710706  0.22198146]
[0.01401383 0.10251051 0.21910758]
[0.00027915 0.10761233 0.22178618]
[0.01568356 0.10295055 0.21841862]
[0.00027915 0.10761233 0.22178618]
[0.01684267 0.10344083 0.21782412]
[0.00027915 0.10761233 0.22178618]
[0.01736403 0.1040364  0.21737201]
[0.00027915 0.10761233 0.22178618]
[0.01731981 0.10469271 0.21702891]
[0.00027915 0.10761233 0.22178618]
[0.01685659 0.10533269 0.21671723]
[0.00027915 0.10761233 0.22178618]
[0.01598498 0.10593559 0.21643324]
[0.00027915 0.10761233 0.22178618]
[0.01480306 0.10650311 0.21619814]
[0.00027915 0.10761233 0.22178618]
[0.01353973 0.10702227 0.21594927]
